question_number,subject,topic,type,question_text,option_a,option_b,option_c,option_d,correct_option,correct_answer,answer_tolerance,difficulty,exam_year,marks,tags,theory_title,theory_text,needs_review,review_reason
294,Computer Science,Algorithms,nat,"The number of spanning trees in a complete graph of 4 vertices labelled A, B, C, and D is _____",,,,,,16,0.0,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
295,Computer Science,Databases,nat,"Consider the following two relations, R(A,B) and S(A,C): R = {(10,20),(20,30),(30,40),(30,50),(50,95)}, S = {(10,90),(30,45),(40,80)}. The total number of tuples obtained by evaluating the expression sigma_{B<C}(R natural-join_{R.A=S.A} S) is _____",,,,,,2,0.0,Hard,2024,1,PYQ;GATE 2024;GATE CS1,,,,
296,Computer Science,Computer Networks,mcq,"Consider a network path P-Q-R between nodes P and R via router Q. Node P sends a file of size 10^6 bytes to R via this path by splitting the file into chunks of 10^3 bytes each. Node P sends these chunks one after the other without any wait time between the successive chunk transmissions. Assume that the size of extra headers added to these chunks is negligible, and that the chunk size is less than the MTU. Each of the links P-Q and Q-R has a bandwidth of 10^6 bits/sec, and negligible propagation latency. Router Q immediately transmits every packet it receives from P to R, with negligible processing and queueing delays. Router Q can simultaneously receive on link P-Q and transmit on link Q-R. Assume P starts transmitting the chunks at time t=0. Which one of the following options gives the time (in seconds, rounded off to 3 decimal places) at which R receives all the chunks of the file?",8.000,8.008,15.992,16.000,B,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
297,Computer Science,Compiler Design,mcq,"Consider the following syntax-directed definition (SDD): S -> DHTU { S.val = D.val + H.val + T.val + U.val; }; D -> ""M"" D1 { D.val = 5 + D1.val; }; D -> epsilon { D.val = -5; }; H -> ""L"" H1 { H.val = 5*10 + H1.val; }; H -> epsilon { H.val = -10; }; T -> ""C"" T1 { T.val = 5*100 + T1.val; }; T -> epsilon { T.val = -5; }; U -> ""K"" { U.val = 5; }. Given ""MMLK"" as the input, which one of the following options is the CORRECT value computed by the SDD (in the attribute S.val)?",45,50,55,65,A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
298,Computer Science,Compiler Design,mcq,"Consider the following grammar G, with S as the start symbol. The grammar G has three incomplete productions denoted by (1), (2), and (3): S -> daT | (1); T -> aS | bT | (2); R -> (3) | epsilon. The set of terminals is {a,b,c,d,f}. FIRST(S) = {c,d,f}, FIRST(T) = {a,b,epsilon}, FIRST(R) = {c,epsilon}; FOLLOW(S) = FOLLOW(T) = {c,f,$}, FOLLOW(R) = {f}. Which one of the following options CORRECTLY fills in the incomplete productions?",(1) S -> Rf  (2) T -> epsilon  (3) R -> cTR,(1) S -> fR  (2) T -> epsilon  (3) R -> cTR,(1) S -> fR  (2) T -> cT  (3) R -> cR,(1) S -> Rf  (2) T -> cT  (3) R -> cR,A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
299,Computer Science,Compiler Design,mcq,"Consider the following pseudo-code with labeled statements L1 through L15: L1: t1=-1; L2: t2=0; L3: t3=0; L4: t4=4*t3; L5: t5=4*t2; L6: t6=t5*M; L7: t7=t4+t6; L8: t8=a[t7]; L9: if t8<=max goto L11; L10: t1=t8; L11: t3=t3+1; L12: if t3<M goto L4; L13: t2=t2+1; L14: if t2<N goto L3; L15: max=t1. Which one of the following options CORRECTLY specifies the number of basic blocks and the number of instructions in the largest basic block, respectively?",6 and 6,6 and 7,7 and 7,7 and 6,D,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
300,Computer Science,Operating System,mcq,"Consider the following two threads T1 and T2 that update two shared variables a and b. Assume that initially a = b = 1. Though context switching between threads can happen at any time, each statement of T1 or T2 is executed atomically without interruption. T1: a=a+1; b=b+1; T2: b=2*b; a=2*a; Which one of the following options lists all the possible combinations of values of a and b after both T1 and T2 finish execution?","(a=4,b=4); (a=3,b=3); (a=4,b=3)","(a=3,b=4); (a=4,b=3); (a=3,b=3)","(a=4,b=4); (a=4,b=3); (a=3,b=4)","(a=2,b=2); (a=2,b=3); (a=3,b=4)",A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
301,Computer Science,Programming and Data Structures,mcq,"An array [82, 101, 90, 11, 111, 75, 33, 131, 44, 93] is heapified. Which one of the following options represents the first three elements in the heapified array?","82, 90, 101","82, 11, 93","131, 11, 93","131, 111, 90",D,,,Medium,2024,2,PYQ;GATE 2024;GATE CS1,,,,
302,Computer Science,Algorithms,mcq,"Consider the following recurrence relation: T(n) = sqrt(n) * T(sqrt(n)) + n for n >= 1, T(1) = 1. Which one of the following options is CORRECT?",T(n) = Theta(n log log n),T(n) = Theta(n log n),T(n) = Theta(n^2 log n),T(n) = Theta(n^2 log log n),A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
303,Computer Science,Programming and Data Structures,mcq,Consider a binary min-heap containing 105 distinct elements. Let k be the index (in the underlying array) of the maximum element stored in the heap. The number of possible values of k is,53,52,27,1,A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
304,Computer Science,Databases,msq,The symbol -> indicates functional dependency in the context of a relational database. Which of the following options is/are TRUE?,"(X,Y) -> (Z,W) implies X -> (Z,W)","(X,Y) -> (Z,W) implies (X,Y) -> Z","((X,Y) -> Z and W -> Y) implies (X,W) -> Z",(X -> Y and Y -> Z) implies X -> Z,"B,C,D",,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
305,Computer Science,Algorithms,msq,"Let G be a directed graph and T a depth first search (DFS) spanning tree in G that is rooted at a vertex v. Suppose T is also a breadth first search (BFS) tree in G, rooted at v. Which of the following statements is/are TRUE for every such graph G and tree T?",There are no back-edges in G with respect to the tree T,There are no cross-edges in G with respect to the tree T,There are no forward-edges in G with respect to the tree T,The only edges in G are the edges in T,C,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
306,Computer Science,Databases,msq,"Consider the following read-write schedule S over three transactions T1, T2, and T3, where the subscripts in the schedule indicate transaction IDs: S: r1(z); w1(z); r2(x); r3(y); w3(y); r2(y); w2(x); w2(y); Which of the following transaction schedules is/are conflict equivalent to S?",T1T2T3,T1T3T2,T3T2T1,T3T1T2,"B,C,D",,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
307,Computer Science,Digital Logic,msq,"Consider a Boolean expression given by F(X,Y,Z) = sum-of-minterms(3,5,6,7). Which of the following statements is/are CORRECT?","F(X,Y,Z) = product-of-maxterms(0,1,2,4)","F(X,Y,Z) = XY + YZ + XZ","F(X,Y,Z) is independent of input Y","F(X,Y,Z) is independent of input X","A,B",,,Medium,2024,2,PYQ;GATE 2024;GATE CS1,,,,
308,Computer Science,Programming and Data Structures,msq,"Consider the following C function definition: int f(int x, int y) { for (int i=0; i<y; i++) { x=x+x+y; } return x; } Which of the following statements is/are TRUE about the above function?","If the inputs are x=20, y=10, then the return value is greater than 2^20","If the inputs are x=20, y=20, then the return value is greater than 2^20","If the inputs are x=20, y=10, then the return value is less than 2^10","If the inputs are x=10, y=20, then the return value is greater than 2^20","B,D",,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
309,Computer Science,Engineering Mathematics,msq,"Let A be any n x m matrix, where m > n. Which of the following statements is/are TRUE about the system of linear equations Ax = 0?",There exist at least m-n linearly independent solutions to this system,There exist m-n linearly independent vectors such that every solution is a linear combination of these vectors,There exists a non-zero solution in which at least m-n variables are 0,There exists a solution in which at least n variables are non-zero,A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
310,Computer Science,Theory of Computation,msq,"Consider a 5-state DFA M accepting the language L(M) subset of (0+1)* shown by a state diagram with states 1 (start, accepting), 2, 3, 4, 5 and transitions: 1 -0-> 2, 2 -0-> 3, 3 -1-> 2, 2 -1-> 1, 1 -1-> 4, 4 -0-> 1, 4 -1-> 5, 5 -0-> 4, 3 -0-> 1 (long edge), 5 -1-> 1 (long edge). For any string w in (0+1)*, let n0(w) be the number of 0s in w and n1(w) be the number of 1s in w. Which of the following statements is/are FALSE?",States 2 and 4 are distinguishable in M,States 3 and 4 are distinguishable in M,States 2 and 5 are distinguishable in M,Any string w with n0(w) = n1(w) is in L(M),"B,C",,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,yes,figure_dependent_dfa_transitions_approximated
311,Computer Science,Algorithms,msq,The chromatic number of a graph is the minimum number of colours used in a proper colouring of the graph. Let G be any graph with n vertices and chromatic number k. Which of the following statements is/are always TRUE?,G contains a complete subgraph with k vertices,G contains an independent set of size at least n/k,G contains at least k(k-1)/2 edges,G contains a vertex of degree at least k,"B,C",,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
312,Computer Science,Engineering Mathematics,msq,"Consider the operators diamond and square defined by a diamond b = a + 2b, a square b = ab, for positive integers. Which of the following statements is/are TRUE?",Operator diamond obeys the associative law,Operator square obeys the associative law,Operator diamond over the operator square obeys the distributive law,Operator square over the operator diamond obeys the distributive law,"B,D",,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
313,Computer Science,Computer Organization and Architecture,msq,"Consider two set-associative cache memory architectures: WBC, which uses the write back policy, and WTC, which uses the write through policy. Both of them use the LRU (Least Recently Used) block replacement policy. The cache memory is connected to the main memory. Which of the following statements is/are TRUE?",A read miss in WBC never evicts a dirty block,A read miss in WTC never triggers a write back operation of a cache block to main memory,A write hit in WBC can modify the value of the dirty bit of a cache block,A write miss in WTC always writes the victim cache block to main memory before loading the missed block to the cache,"B,C",,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
314,Computer Science,Computer Organization and Architecture,nat,Consider a 512 GB hard disk with 32 storage surfaces. There are 4096 sectors per track and each sector holds 1024 bytes of data. The number of cylinders in the hard disk is _____,,,,,,4096,0.0,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
315,Computer Science,Computer Organization and Architecture,nat,The baseline execution time of a program on a 2 GHz single core machine is 100 nanoseconds (ns). The code corresponding to 90% of the execution time can be fully parallelized. The overhead for using an additional core is 10 ns when running on a multicore system. Assume that all cores in the multicore system run their share of the parallelized code for an equal amount of time. The number of cores that minimize the execution time of the program is _____,,,,,,3,0.0,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
316,Computer Science,Computer Organization and Architecture,nat,"A given program has 25% load/store instructions. Suppose the ideal CPI (cycles per instruction) without any memory stalls is 2. The program exhibits 2% miss rate on instruction cache and 8% miss rate on data cache. The miss penalty is 100 cycles. The speedup (rounded off to two decimal places) achieved with a perfect cache (i.e., with NO data or instruction cache misses) is _____",,,,,,3.00,0.0,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
317,Computer Science,Operating System,nat,"Consider the following code snippet using the fork() and wait() system calls. Assume that the code compiles and runs correctly, and that the system calls run successfully without any errors: int x = 3; while(x > 0) { fork(); printf(""hello""); wait(NULL); x--; } The total number of times the printf statement is executed is _____",,,,,,14,0.0,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
318,Computer Science,Computer Networks,nat,"Consider the entries shown below in the forwarding table of an IP router: Prefix 10.1.1.0/24 -> R1; 10.1.1.128/25 -> R2; 10.1.1.64/26 -> R3; 10.1.1.192/26 -> R4. This router forwards 20 packets each to 5 hosts. The IP addresses of the hosts are 10.1.1.16, 10.1.1.72, 10.1.1.132, 10.1.1.191, and 10.1.1.205. The number of packets forwarded via the next hop router R2 is _____",,,,,,40,0.0,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
319,Computer Science,Theory of Computation,nat,"Let G = (V, Sigma, S, P) be a context-free grammar in Chomsky Normal Form with Sigma = {a,b,c} and V containing 10 variable symbols including the start symbol S. The string w = a^30 b^30 c^30 is derivable from S. The number of steps (application of rules) in the derivation S ->* w is _____",,,,,,179,0.0,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
320,Computer Science,Algorithms,nat,The number of edges present in the forest generated by the DFS traversal of an undirected graph G with 100 vertices is 40. The number of connected components in G is _____,,,,,,60,0.0,Medium,2024,2,PYQ;GATE 2024;GATE CS1,,,,
321,Computer Science,Theory of Computation,nat,"Consider the following two regular expressions over the alphabet {0,1}: r = 0* + 1*; s = 01* + 10*. The total number of strings of length less than or equal to 5, which are neither in r nor in s, is _____",,,,,,44,0.0,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
322,Computer Science,Operating System,nat,"Consider a memory management system that uses a page size of 2 KB. Assume that both the physical and virtual addresses start from 0. Assume that the pages 0, 1, 2, and 3 are stored in the page frames 1, 3, 2, and 0, respectively. The physical address (in decimal format) corresponding to the virtual address 2500 (in decimal format) is _____",,,,,,6596,0.0,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
323,Computer Science,Probability and Statistics,nat,"A bag contains 10 red balls and 15 blue balls. Two balls are drawn randomly without replacement. Given that the first ball drawn is red, the probability (rounded off to 3 decimal places) that both balls drawn are red is _____",,,,,,0.375,0.005,Medium,2024,2,PYQ;GATE 2024;GATE CS1,,,,
